state_cd,2s,4,4,4,4,4,4,4
state_name,40s,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
year,4s,1985,1990,1995,2000,2005,2010,2015
"Total Population total population of area, in thousands",16s,3279.22,3665.23,4217.94,5130.66,5939.292,6392.333,6828.065
"Public Supply population served by groundwater, in thousands",16s,1930.42,2188.68,2244.85,2329.244,-,3479.722,3270.049
"Public Supply population served by surface water, in thousands",16s,1159.72,1206.28,1672.18,2536.758,-,2694.441,3339.846
"Public Supply total population served, in thousands",16s,3090.14,3394.96,3917.03,4866.002,5721.202,6174.163,6609.895
"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,385.04,401.23,409.38,493.16,567.24,585.07,568.92
"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",16s,385.04,401.23,409.38,493.16,567.24,585.07,568.92
"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,233.17,305.36,398,612.62,601.65,628.35,626.23
"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",16s,233.17,305.36,398,612.62,601.65,628.35,626.23
"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",16s,618.21,706.59,807.38,1105.78,1168.89,1213.42,1195.15
"Public Supply total self-supplied withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Public Supply total self-supplied withdrawals, total, in Mgal/d",16s,618.21,706.59,807.38,1105.78,1168.89,1213.42,1195.15
"Public Supply deliveries to domestic, in Mgal/d",16s,449.11,508.93,525.85,839.36,887.74,912.01,963.3
"Public Supply deliveries to commercial, in Mgal/d",16s,90.39,117.07,134.56,-,-,193.36,231.8
"Public Supply deliveries to industrial, in Mgal/d",16s,78.73,78.49,66.27,-,-,0,-
"Public Supply deliveries to thermoelectric, in Mgal/d",16s,0,0,0,-,-,0.43,0.5
"Public Supply total deliveries, in Mgal/d",16s,618.23,704.49,726.68,-,-,1105.8,-
"Public Supply public use and losses, in Mgal/d",16s,-0.02,2.1,80.7,-,-,107.62,-
"Public Supply per capita use, in gallons/person/day",16s,200,208,206,227,204,197,181
"Public Supply reclaimed wastewater, in Mgal/d",16s,0,0,0,-,-,0,0
Public Supply number of facilities,16s,0,496,578,832,832,832,-
