state_cd,2s,6,6,6,6,6,6,6
state_name,40s,California,California,California,California,California,California,California
year,4s,1985,1990,1995,2000,2005,2010,2015
"Total Population total population of area, in thousands",16s,26354.36,29760.02,32062.75,33871.66,36132.147,37253.956,39144.818
"Public Supply population served by groundwater, in thousands",16s,16343.1,13588.96,13012.92,12458.76,6300.992,14577.672,-
"Public Supply population served by surface water, in thousands",16s,8002.76,11887.81,17453.37,17600.43,27123.939,20200.237,-
"Public Supply total population served, in thousands",16s,24345.86,25476.77,30466.29,30059.19,33424.931,34777.909,37709.308
"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,3734.99,3263.88,2736.09,2797.63,1276.62,2742.2,2313.05
"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,2,-,0,84.29,52.04
"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,2738.09,-,1276.62,2826.49,2365.09
"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,1573.93,2563.97,2884.05,3323.58,5710.46,3472.23,2782.65
"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,2884.05,-,5710.46,3472.23,2782.65
"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",16s,5308.92,5827.85,5620.14,6121.21,6987.08,6214.43,5095.7
"Public Supply total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,2,-,0,84.29,52.04
"Public Supply total self-supplied withdrawals, total, in Mgal/d",16s,-,-,5622.14,-,6987.08,6298.72,5147.74
"Public Supply deliveries to domestic, in Mgal/d",16s,3238.47,3740.3,3711.23,-,3983.75,3865.64,3227.97
"Public Supply deliveries to commercial, in Mgal/d",16s,1221.04,790.7,994.12,-,-,-,-
"Public Supply deliveries to industrial, in Mgal/d",16s,493.54,491.99,282.52,-,-,-,-
"Public Supply deliveries to thermoelectric, in Mgal/d",16s,30.96,12.95,5.26,-,-,-,38.88
"Public Supply total deliveries, in Mgal/d",16s,4984.01,5035.94,4993.13,-,-,-,-
"Public Supply public use and losses, in Mgal/d",16s,-,-,629.01,-,-,-,-
"Public Supply per capita use, in gallons/person/day",16s,-,-,185,-,209,181,137
"Public Supply reclaimed wastewater, in Mgal/d",16s,-,-,55.52,-,-,-,-
Public Supply number of facilities,16s,-,3717,1107,-,-,-,-
"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,125.26,212.02,107.77,257.09,428.59,142.47,108.23
"Domestic self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,107.77,-,-,-,-
"Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,15.14,105.81,11.97,28.56,57.16,29.45,18.51
"Domestic self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,11.97,-,-,-,-
"Domestic total self-supplied withdrawals, fresh, in Mgal/d",16s,140.4,317.83,119.74,285.65,485.75,171.92,126.74
"Domestic self-supplied population, in thousands",16s,2008.5,4283.25,1596.46,3812.47,2707.216,2476.047,1435.51
"Domestic deliveries from public supply, in Mgal/d",16s,3238.47,3740.3,3711.23,-,3983.75,3865.64,3227.97
"Domestic total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic per capita use, public-supplied, in gallons/person/day",16s,133,147,122,-,119,111,86
"Domestic total self-supplied withdrawals, in Mgal/d",16s,-,-,119.74,-,-,-,-
"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d",16s,3378.87,4058.13,3830.97,-,4469.5,4037.56,3354.71
"Domestic consumptive use, fresh, in Mgal/d",16s,878.5,1032.85,1060.91,-,-,-,-
"Domestic consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total consumptive use, in Mgal/d",16s,-,-,1060.91,-,-,-,-
"Domestic per capita use, self-supplied, in gallons/person/day",16s,70,74,75,75,179,69,88
"Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,47.24,56.8,76.75,-,-,-,-
"Commercial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,76.75,-,-,-,-
"Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,5.69,177.03,308.58,-,-,-,-
"Commercial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,308.58,-,-,-,-
"Commercial total self-supplied withdrawals, fresh, in Mgal/d",16s,52.93,233.83,385.33,-,-,-,-
"Commercial total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, in Mgal/d",16s,-,-,385.33,-,-,-,-
"Commercial deliveries from public supply, in Mgal/d",16s,1221.04,790.7,994.12,-,-,-,-
"Commercial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,1379.45,-,-,-,-
"Commercial consumptive use, fresh, in Mgal/d",16s,330.87,7.1,258.61,-,-,-,-
"Commercial consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total consumptive use, in Mgal/d",16s,-,-,258.61,-,-,-,-
"Commercial reclaimed wastewater, in Mgal/d",16s,-,-,18.61,-,-,-,-
"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,325.84,125.47,521.8,182.65,62.34,398.84,397.42
"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,7.86,0,10.09,0,0,0,0
"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",16s,333.7,125.47,531.89,182.65,62.34,398.84,397.42
"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,105.24,3.38,16.39,5.65,9.9,1.13,1.13
"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,254.46,25.38,26.31,13.61,23.43,0,0
"Industrial total self-supplied withdrawals, surface water, in Mgal/d",16s,359.7,28.76,42.7,19.26,33.33,1.13,1.13
"Industrial total self-supplied withdrawals, fresh, in Mgal/d",16s,431.08,128.85,538.19,188.3,72.24,399.97,398.55
"Industrial total self-supplied withdrawals, saline, in Mgal/d",16s,262.32,25.38,36.4,13.61,23.43,0,0
"Industrial total self-supplied withdrawals, in Mgal/d",16s,693.4,154.23,574.59,201.91,95.67,399.97,398.55
"Industrial deliveries from public supply, in Mgal/d",16s,493.54,491.99,282.52,-,-,-,-
"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,1186.94,646.22,857.11,-,-,-,-
"Industrial consumptive use, fresh, in Mgal/d",16s,301.11,101.09,239.05,-,-,-,-
"Industrial consumptive use, saline, in Mgal/d",16s,11.05,0.31,9.1,-,-,-,-
"Industrial total consumptive use, in Mgal/d",16s,312.16,101.4,248.15,-,-,-,-
"Industrial reclaimed wastewater, in Mgal/d",16s,2.9,0.84,3.57,-,-,82.54,82.54
Industrial number of facilities,16s,-,20248,20119,-,-,-,968
"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,68.25,4.62,3.56,3.23,9.84,33.14,19.62
"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,21.55,0,0,48.45,35.12
"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,25.11,3.23,9.84,81.59,54.74
"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,201.91,349.21,39.74,32.22,16.73
"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,9427.71,12591.57,12587.58,6487.29,2804.08
