state_cd,2s,8,8,8,8,8,8,8
state_name,40s,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado
year,4s,1985,1990,1995,2000,2005,2010,2015
"Total Population total population of area, in thousands",16s,3231.2,3294.44,3746.59,4301.28,4665.177,5029.196,5456.574
"Public Supply population served by groundwater, in thousands",16s,446.96,421.99,475.4,-,706.017,626.84,420.54
"Public Supply population served by surface water, in thousands",16s,2562.51,2624.1,2918.6,-,3683.036,3897.16,4749.56
"Public Supply total population served, in thousands",16s,3009.47,3046.09,3394,3746.32,4389.053,4524,5170.1
"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,86,83.26,99.68,53.69,101.22,130.39,109.05
"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,99.68,-,101.22,130.39,109.05
"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,651.08,566.99,605.35,845.72,739.22,690.39,734.9
"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,605.35,-,739.22,690.39,734.9
"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",16s,737.08,650.25,705.03,899.41,840.44,820.78,843.95
"Public Supply total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, total, in Mgal/d",16s,-,-,705.03,-,840.44,820.78,843.95
"Public Supply deliveries to domestic, in Mgal/d",16s,456.22,440.8,481.28,-,529.59,539.23,636.69
"Public Supply deliveries to commercial, in Mgal/d",16s,111.84,107.56,100.73,-,-,-,-
"Public Supply deliveries to industrial, in Mgal/d",16s,17.74,20.89,19.42,-,-,-,-
"Public Supply deliveries to thermoelectric, in Mgal/d",16s,13.06,12.99,13.59,-,-,-,-
"Public Supply total deliveries, in Mgal/d",16s,598.86,582.24,615.02,-,-,-,-
"Public Supply public use and losses, in Mgal/d",16s,-,-,90.01,-,-,-,-
"Public Supply per capita use, in gallons/person/day",16s,-,-,208,-,191,181,163
"Public Supply reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Public Supply number of facilities,16s,-,795,794,-,-,-,-
"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,16.7,18.86,26.73,66.6,39.08,55.24,35.37
"Domestic self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,26.73,-,-,-,-
"Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0,0,0,0,0,0,0
"Domestic self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, fresh, in Mgal/d",16s,16.7,18.86,26.73,66.6,39.08,55.24,35.37
"Domestic self-supplied population, in thousands",16s,221.73,248.35,352.59,554.96,276.124,505.196,286.474
"Domestic deliveries from public supply, in Mgal/d",16s,456.22,440.8,481.28,-,529.59,539.23,636.69
"Domestic total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic per capita use, public-supplied, in gallons/person/day",16s,152,145,142,-,121,119,123
"Domestic total self-supplied withdrawals, in Mgal/d",16s,-,-,26.73,-,-,-,-
"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d",16s,472.92,459.66,508.01,-,568.67,594.47,672.06
"Domestic consumptive use, fresh, in Mgal/d",16s,144.75,139.17,154.25,-,-,-,-
"Domestic consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total consumptive use, in Mgal/d",16s,-,-,154.25,-,-,-,-
"Domestic per capita use, self-supplied, in gallons/person/day",16s,75,76,76,120,142,109,123
"Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,8.12,7.74,7.74,-,-,-,-
"Commercial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,7.74,-,-,-,-
"Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0.28,0.86,0.86,-,-,-,-
"Commercial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0.86,-,-,-,-
"Commercial total self-supplied withdrawals, fresh, in Mgal/d",16s,8.4,8.6,8.6,-,-,-,-
"Commercial total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, in Mgal/d",16s,-,-,8.6,-,-,-,-
"Commercial deliveries from public supply, in Mgal/d",16s,111.84,107.56,100.73,-,-,-,-
"Commercial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,109.33,-,-,-,-
"Commercial consumptive use, fresh, in Mgal/d",16s,20.81,16.82,15.81,-,-,-,-
"Commercial consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total consumptive use, in Mgal/d",16s,-,-,15.81,-,-,-,-
"Commercial reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,7.44,32.74,37.01,23.63,3.61,3.45,4.22
"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",16s,7.44,32.74,37.01,23.63,3.61,3.45,4.22
"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,112.91,84.93,86.47,96.4,138.83,126.78,79.86
"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, surface water, in Mgal/d",16s,112.91,84.93,86.47,96.4,138.83,126.78,79.86
"Industrial total self-supplied withdrawals, fresh, in Mgal/d",16s,120.35,117.67,123.48,120.03,142.44,130.23,84.08
"Industrial total self-supplied withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, in Mgal/d",16s,120.35,117.67,123.48,120.03,142.44,130.23,84.08
"Industrial deliveries from public supply, in Mgal/d",16s,17.74,20.89,19.42,-,-,-,-
"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,138.09,138.56,142.9,-,-,-,-
"Industrial consumptive use, fresh, in Mgal/d",16s,28.4,41.08,42.14,-,-,-,-
"Industrial consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Industrial total consumptive use, in Mgal/d",16s,28.4,41.08,42.14,-,-,-,-
"Industrial reclaimed wastewater, in Mgal/d",16s,0,0,0,-,-,-,-
Industrial number of facilities,16s,-,690,968,-,-,-,-
"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,13.91,20.67,21.84,16.14,6.46,16.89,3.03
"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,21.84,16.14,6.46,16.89,3.03
"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,92.58,122.06,122,60.01,34.13
"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,92.58,122.06,122,60.01,34.13
"Total Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,114.42,138.2,128.46,76.9,37.16
"Total Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, total, in Mgal/d",16s,-,-,114.42,138.2,128.46,76.9,37.16
"Total Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,128.01,-,-,-,-
"Total Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,37.04,40.85,41.15,-,-,-,46.73
"Total Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,0
"Total Thermoelectric Power total consumptive use, in Mgal/d",16s,37.04,40.85,41.15,-,-,-,46.73
"Total Thermoelectric Power power generated, in gigawatt-hours",16s,26486.23,30019.04,30574.78,-,41905.85,45187.52,42268.35
"Total Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,3.53,-,-,-,-
Total Thermoelectric Power number of facilities,16s,-,25,26,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,13.91,20.67,21.84,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,21.84,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,94.25,93.62,92.58,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,94.25,93.62,92.58,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,108.16,114.29,114.42,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,114.42,-,-,-,-
"Fossil-fuel Thermoelectric Power deliveries from public supply, in Mgal/d",16s,13.06,12.99,13.59,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,128.01,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,37.04,40.85,41.15,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total consumptive use, in Mgal/d",16s,37.04,40.85,41.15,-,-,-,-
"Fossil-fuel Thermoelectric Power power generation, in gigawatt-hours",16s,26486.23,30019.04,30574.78,-,-,-,-
"Fossil-fuel Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,3.53,-,-,-,-
Fossil-fuel Thermoelectric Power number of facilities,16s,-,25,26,-,-,-,-
"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power deliveries from public supply, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power total consumptive use, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power power generation, in gigawatt-hours",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Geothermal Thermoelectric Power number of facilities,16s,-,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,1.62,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,1.62,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,1.62,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power deliveries from public supply, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total consumptive use, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power power generation, in gigawatt-hours",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Nuclear Thermoelectric Power number of facilities,16s,-,0,0,-,-,-,-
