state_cd,2s,35,35,35,35,35,35,35
state_name,40s,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
year,4s,1985,1990,1995,2000,2005,2010,2015
"Total Population total population of area, in thousands",16s,1417.79,1515.07,1686.19,1819.05,1928.384,2059.179,2085.109
"Public Supply population served by groundwater, in thousands",16s,856.91,1050.43,1205.36,-,1324.222,-,1229.587
"Public Supply population served by surface water, in thousands",16s,146.79,156.39,174.44,-,227.163,-,563.357
"Public Supply total population served, in thousands",16s,1003.7,1206.82,1379.8,1458.88,1551.385,1756.04,1792.944
"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,198.32,240.84,276.89,262.46,249.05,210.94,175.84
"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,276.89,-,249.05,210.94,175.84
"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,27.98,31.96,34.08,33.82,37.26,72.38,78.28
"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,34.08,-,37.26,72.38,78.28
"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",16s,226.3,272.8,310.97,296.28,286.31,283.32,254.12
"Public Supply total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, total, in Mgal/d",16s,-,-,310.97,-,286.31,283.32,254.12
"Public Supply deliveries to domestic, in Mgal/d",16s,179.11,163.4,188.31,-,175.04,160.21,145.12
"Public Supply deliveries to commercial, in Mgal/d",16s,41.55,68.35,77.83,-,-,-,-
"Public Supply deliveries to industrial, in Mgal/d",16s,2.8,14.63,14.61,-,-,-,-
"Public Supply deliveries to thermoelectric, in Mgal/d",16s,0,0.12,0.06,-,-,-,-
"Public Supply total deliveries, in Mgal/d",16s,223.46,246.5,280.81,-,-,-,-
"Public Supply public use and losses, in Mgal/d",16s,-,-,30.16,-,-,-,-
"Public Supply per capita use, in gallons/person/day",16s,-,-,225,-,185,161,142
"Public Supply reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Public Supply number of facilities,16s,-,614,782,-,-,-,-
"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,38.44,23.91,26.42,31.39,32.04,25.82,24.64
"Domestic self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,26.42,-,-,-,-
"Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0,0,0,0,0,0,0
"Domestic self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, fresh, in Mgal/d",16s,38.44,23.91,26.42,31.39,32.04,25.82,24.64
"Domestic self-supplied population, in thousands",16s,414.09,308.25,306.39,360.17,376.999,303.139,292.165
"Domestic deliveries from public supply, in Mgal/d",16s,179.11,163.4,188.31,-,175.04,160.21,145.12
"Domestic total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic per capita use, public-supplied, in gallons/person/day",16s,178,135,136,-,113,91,81
"Domestic total self-supplied withdrawals, in Mgal/d",16s,-,-,26.42,-,-,-,-
"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d",16s,217.55,187.31,214.73,-,207.08,186.03,169.76
"Domestic consumptive use, fresh, in Mgal/d",16s,106.42,108.99,118.34,-,-,-,-
"Domestic consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total consumptive use, in Mgal/d",16s,-,-,118.34,-,-,-,-
"Domestic per capita use, self-supplied, in gallons/person/day",16s,93,78,86,87,85,85,84
