state_cd,2s,32,32,32,32,32,32,32
state_name,40s,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada
year,4s,1985,1990,1995,2000,2005,2010,2015
"Total Population total population of area, in thousands",16s,967.75,1201.85,1530.11,1998.26,2414.807,2700.551,2890.845
"Public Supply population served by groundwater, in thousands",16s,302.5,317.97,379.87,452.79,-,-,-
"Public Supply population served by surface water, in thousands",16s,579.25,802,1059.71,1421.04,-,-,-
"Public Supply total population served, in thousands",16s,881.75,1119.97,1439.58,1873.83,2232.96,2542.553,2698.288
"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,94.2,104.08,116.76,150.95,134.85,133.01,141.55
"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,116.76,-,134.85,133.01,141.55
"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,193.39,280.98,350.76,477.8,541.43,447.8,389.7
"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,350.76,-,541.43,447.8,389.7
"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",16s,287.59,385.06,467.52,628.75,676.28,580.81,531.25
"Public Supply total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, total, in Mgal/d",16s,-,-,467.52,-,676.28,580.81,531.25
"Public Supply deliveries to domestic, in Mgal/d",16s,189.17,238.28,306.07,-,421.45,330.95,329.72
"Public Supply deliveries to commercial, in Mgal/d",16s,53.87,89.47,115.86,-,-,-,-
"Public Supply deliveries to industrial, in Mgal/d",16s,6.3,2.63,2.19,-,-,-,10.24
"Public Supply deliveries to thermoelectric, in Mgal/d",16s,2.45,0.8,1.45,-,-,-,-
"Public Supply total deliveries, in Mgal/d",16s,251.79,331.18,425.57,-,-,-,-
"Public Supply public use and losses, in Mgal/d",16s,-,-,41.95,-,-,-,-
"Public Supply per capita use, in gallons/person/day",16s,-,-,325,-,303,228,197
"Public Supply reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Public Supply number of facilities,16s,-,188,73,-,-,-,415
"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,11.54,9.63,10.69,22.45,37.38,29.81,35.77
"Domestic self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,10.69,-,-,-,-
"Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0.57,0.18,0.18,0,0,0,0
"Domestic self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0.18,-,-,-,-
"Domestic total self-supplied withdrawals, fresh, in Mgal/d",16s,12.11,9.81,10.87,22.45,37.38,29.81,35.77
"Domestic self-supplied population, in thousands",16s,86,81.88,90.53,124.43,181.847,157.998,192.557
"Domestic deliveries from public supply, in Mgal/d",16s,189.17,238.28,306.07,-,421.45,330.95,329.72
"Domestic total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic per capita use, public-supplied, in gallons/person/day",16s,215,213,213,-,189,130,122
"Domestic total self-supplied withdrawals, in Mgal/d",16s,-,-,10.87,-,-,-,-
"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d",16s,201.28,248.09,316.94,-,458.83,360.76,365.49
"Domestic consumptive use, fresh, in Mgal/d",16s,101.84,124.01,158.17,-,-,-,182.75
"Domestic consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total consumptive use, in Mgal/d",16s,-,-,158.17,-,-,-,-
"Domestic per capita use, self-supplied, in gallons/person/day",16s,141,120,120,180,206,189,186
"Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,7.04,7.09,7.07,-,-,-,-
"Commercial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,7.07,-,-,-,-
"Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0.36,15.61,13.89,-,-,-,-
"Commercial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,13.89,-,-,-,-
