state_cd,2s,49,49,49,49,49,49,49
state_name,40s,Utah,Utah,Utah,Utah,Utah,Utah,Utah
year,4s,1985,1990,1995,2000,2005,2010,2015
"Total Population total population of area, in thousands",16s,1644.8,1722.85,1951.4,2233.2,2547.389,2763.885,2995.919
"Public Supply population served by groundwater, in thousands",16s,1015.49,947.91,1007.96,-,-,-,-
"Public Supply population served by surface water, in thousands",16s,553.33,704.5,840.3,-,-,-,-
"Public Supply total population served, in thousands",16s,1568.82,1652.41,1848.26,2172.868,2478.885,2713.371,2934.541
"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,299.06,305.17,292.59,364.27,348.07,361.16,354.81
"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,3,4.53
"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,292.59,364.27,348.07,364.16,359.34
"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,147.79,203.29,204.41,273.55,259.42,308.84,267.18
"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,204.41,273.55,259.42,308.84,267.18
"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",16s,446.85,508.46,497,637.82,607.49,670,621.99
"Public Supply total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,3,4.53
"Public Supply total self-supplied withdrawals, total, in Mgal/d",16s,-,-,497,637.82,607.49,673,626.52
"Public Supply deliveries to domestic, in Mgal/d",16s,339.92,359.96,339.67,-,459.87,453.46,495.77
"Public Supply deliveries to commercial, in Mgal/d",16s,49.52,61.94,114.99,-,-,-,-
"Public Supply deliveries to industrial, in Mgal/d",16s,14.83,21.49,17.29,-,-,-,-
"Public Supply deliveries to thermoelectric, in Mgal/d",16s,0.01,0,0,-,-,-,-
"Public Supply total deliveries, in Mgal/d",16s,404.28,443.39,471.95,-,-,-,-
"Public Supply public use and losses, in Mgal/d",16s,-,-,25.05,-,-,-,-
"Public Supply per capita use, in gallons/person/day",16s,-,-,269,294,245,248,213
"Public Supply reclaimed wastewater, in Mgal/d",16s,-,-,0,0,-,0,-
Public Supply number of facilities,16s,-,344,319,-,-,-,-
"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,4.54,4.62,7.72,17.18,11.8,8.44,10.36
"Domestic self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,7.72,-,-,-,-
"Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,1.61,1.43,1.7,0,2.11,0,0
"Domestic self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,1.7,-,-,-,-
"Domestic total self-supplied withdrawals, fresh, in Mgal/d",16s,6.15,6.05,9.42,17.18,13.91,8.44,10.36
"Domestic self-supplied population, in thousands",16s,75.98,70.44,103.14,60.332,68.504,50.514,61.378
"Domestic deliveries from public supply, in Mgal/d",16s,339.92,359.96,339.67,-,459.87,453.46,495.77
"Domestic total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic per capita use, public-supplied, in gallons/person/day",16s,217,218,184,-,186,167,169
"Domestic total self-supplied withdrawals, in Mgal/d",16s,-,-,9.42,-,-,-,-
"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d",16s,346.07,366.01,349.09,-,473.78,461.9,506.13
"Domestic consumptive use, fresh, in Mgal/d",16s,118.9,126.37,118.1,-,-,-,-
"Domestic consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total consumptive use, in Mgal/d",16s,-,-,118.1,-,-,-,-
"Domestic per capita use, self-supplied, in gallons/person/day",16s,81,86,91,285,203,167,169
"Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0.37,4.24,3.83,-,-,-,4.18
"Commercial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
